bitrate_kbps_segment_size,bitrate_kbps_target,coding_height,coding_res,coding_width,display_height,display_res,display_width,dts,framerate,gop_length,i_sizes_average,iframe_ratio,noni_sizes_average,sample_index,pvs_id
11739.424214,10000,1080,2073600,1920,1080,2073600,1920,39.958333,24,1,628814,16.6811863328,37696,39,TR04_SRC001_HRC01
11195.8020077,10000,1080,2073600,1920,1080,2073600,1920,40.958333,24,1,632487,18.2826130944,34595,40,TR04_SRC001_HRC01
10755.9415433,10000,1080,2073600,1920,1080,2073600,1920,41.958333,24,1,636416,19.858212681,32048,41,TR04_SRC001_HRC01
10392.3890446,10000,1080,2073600,1920,1080,2073600,1920,42.958333,24,1,629669,20.7435018943,30355,42,TR04_SRC001_HRC01
10005.4167416,10000,1080,2073600,1920,1080,2073600,1920,43.958333,24,1,594763,20.0270388578,29698,43,TR04_SRC001_HRC01
9749.35772956,10000,1080,2073600,1920,1080,2073600,1920,44.958333,24,1,558894,18.7611278953,29790,44,TR04_SRC001_HRC01
9923.42818669,10000,1080,2073600,1920,1080,2073600,1920,45.958333,24,1,558361,18.1545389517,30756,45,TR04_SRC001_HRC01
9898.79626683,10000,1080,2073600,1920,1080,2073600,1920,46.958333,24,1,570573,18.9445846338,30118,46,TR04_SRC001_HRC01
9728.59383722,10000,1080,2073600,1920,1080,2073600,1920,47.958333,24,1,551722,18.4066857944,29974,47,TR04_SRC001_HRC01
9459.16467741,10000,1080,2073600,1920,1080,2073600,1920,48.958333,24,1,532050,18.1432225064,29325,48,TR04_SRC001_HRC01
8904.16606103,10000,1080,2073600,1920,1080,2073600,1920,49.958333,24,1,507199,18.5501792115,27342,49,TR04_SRC001_HRC01
8903.368352,10000,1080,2073600,1920,1080,2073600,1920,50.958333,24,1,507199,19.2587712637,26336,50,TR04_SRC001_HRC01
8724.02842999,10000,1080,2073600,1920,1080,2073600,1920,51.958333,24,1,506362,19.9378666772,25397,51,TR04_SRC001_HRC01
8470.23435577,10000,1080,2073600,1920,1080,2073600,1920,52.958333,24,1,517933,22.0256432065,23515,52,TR04_SRC001_HRC01
8249.70250238,10000,1080,2073600,1920,1080,2073600,1920,53.958333,24,1,523221,23.6901657158,22086,53,TR04_SRC001_HRC01
7827.60457916,10000,1080,2073600,1920,1080,2073600,1920,54.958333,24,1,532745,27.4922592631,19378,54,TR04_SRC001_HRC01
7785.36057426,10000,1080,2073600,1920,1080,2073600,1920,55.958333,24,1,510439,25.3709925941,20119,55,TR04_SRC001_HRC01
7739.7288514,10000,1080,2073600,1920,1080,2073600,1920,56.958333,24,1,485038,23.1245768772,20975,56,TR04_SRC001_HRC01
7676.18659051,10000,1080,2073600,1920,1080,2073600,1920,57.958333,24,1,455791,20.8114241359,21901,57,TR04_SRC001_HRC01
7570.88779653,10000,1080,2073600,1920,1080,2073600,1920,58.958333,24,1,422157,18.5229695933,22791,58,TR04_SRC001_HRC01
7438.79648963,10000,1080,2073600,1920,1080,2073600,1920,59.958333,24,1,381992,16.0366078925,23820,59,TR04_SRC001_HRC01
2677.11938304,2500,1080,2073600,1920,1080,2073600,1920,0.958333,24,1,43317,3.4199431549,12666,0,TR04_SRC003_HRC02
2677.11938304,2500,1080,2073600,1920,1080,2073600,1920,1.958333,24,1,43317,3.4199431549,12666,1,TR04_SRC003_HRC02
2677.11938304,2500,1080,2073600,1920,1080,2073600,1920,2.958333,24,1,43317,3.4199431549,12666,2,TR04_SRC003_HRC02
2677.11938304,2500,1080,2073600,1920,1080,2073600,1920,3.958333,24,1,43317,3.4199431549,12666,3,TR04_SRC003_HRC02
2677.11938304,2500,1080,2073600,1920,1080,2073600,1920,4.958333,24,1,43317,3.4199431549,12666,4,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,5.958333,24,1,17923,10.8756067961,1648,5,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,6.958333,24,1,17923,10.8756067961,1648,6,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,7.958333,24,1,17923,10.8756067961,1648,7,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,8.958333,24,1,17923,10.8756067961,1648,8,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,9.958333,24,1,17923,10.8756067961,1648,9,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,10.958333,24,1,17923,10.8756067961,1648,10,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,11.958333,24,1,17923,10.8756067961,1648,11,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,12.958333,24,1,17923,10.8756067961,1648,12,TR04_SRC003_HRC02
446.69722642200003,500,480,408960,852,1080,2073600,1920,13.958333,24,1,17923,10.8756067961,1648,13,TR04_SRC003_HRC02
442.180496029,500,480,408960,852,1080,2073600,1920,14.958333,24,1,19032,11.5485436893,1648,14,TR04_SRC003_HRC02
93.4276162154,150,240,102240,426,1080,2073600,1920,15.958333,24,1,2967,7.84920634921,378,15,TR04_SRC003_HRC02
91.3946021765,150,240,102240,426,1080,2073600,1920,16.958333,24,1,2838,7.60857908847,373,16,TR04_SRC003_HRC02
89.598667826,150,240,102240,426,1080,2073600,1920,17.958333,24,1,2740,7.4659400545,367,17,TR04_SRC003_HRC02
87.8552971576,150,240,102240,426,1080,2073600,1920,18.958333,24,1,2663,7.37673130194,361,18,TR04_SRC003_HRC02
86.7683725197,150,240,102240,426,1080,2073600,1920,19.958333,24,1,2594,7.24581005587,358,19,TR04_SRC003_HRC02
85.5758153935,150,240,102240,426,1080,2073600,1920,20.958333,24,1,2536,7.16384180791,354,20,TR04_SRC003_HRC02
84.6609697711,150,240,102240,426,1080,2073600,1920,21.958333,24,1,2484,7.05681818182,352,21,TR04_SRC003_HRC02
83.9428840125,150,240,102240,426,1080,2073600,1920,22.958333,24,1,2437,6.96285714286,350,22,TR04_SRC003_HRC02
83.0296515523,150,240,102240,426,1080,2073600,1920,23.958333,24,1,2377,6.85014409222,347,23,TR04_SRC003_HRC02
79.6404818741,150,240,102240,426,1080,2073600,1920,24.958333,24,1,2198,6.44574780059,341,24,TR04_SRC003_HRC02
75.7484044512,150,240,102240,426,1080,2073600,1920,25.958333,24,1,1988,6.06097560976,328,25,TR04_SRC003_HRC02
73.2836893046,150,240,102240,426,1080,2073600,1920,26.958333,24,1,1752,5.39076923077,325,26,TR04_SRC003_HRC02
72.3918384018,150,240,102240,426,1080,2073600,1920,27.958333,24,1,1507,4.56666666667,330,27,TR04_SRC003_HRC02
72.664404071,150,240,102240,426,1080,2073600,1920,28.958333,24,1,1483,4.46686746988,332,28,TR04_SRC003_HRC02
68.7446692493,150,240,102240,426,1080,2073600,1920,29.958333,24,1,1528,4.94498381877,309,29,TR04_SRC003_HRC02
65.5865149739,150,240,102240,426,1080,2073600,1920,30.958333,24,1,1557,5.35051546392,291,30,TR04_SRC003_HRC02
63.9675550654,150,240,102240,426,1080,2073600,1920,31.958333,24,1,1590,5.65836298932,281,31,TR04_SRC003_HRC02
62.8392133614,150,240,102240,426,1080,2073600,1920,32.958333,24,1,1559,5.64855072464,276,32,TR04_SRC003_HRC02
63.5955830934,150,240,102240,426,1080,2073600,1920,33.958333,24,1,1564,5.58571428571,280,33,TR04_SRC003_HRC02
64.5736128474,150,240,102240,426,1080,2073600,1920,34.958333,24,1,1589,5.59507042254,284,34,TR04_SRC003_HRC02
64.7070898589,150,240,102240,426,1080,2073600,1920,35.958333,24,1,1664,5.90070921986,282,35,TR04_SRC003_HRC02
65.5376134861,150,240,102240,426,1080,2073600,1920,36.958333,24,1,1717,6.04577464789,284,36,TR04_SRC003_HRC02
71.3504772129,150,240,102240,426,1080,2073600,1920,37.958333,24,1,1770,5.65495207668,313,37,TR04_SRC003_HRC02
83.6475980426,150,240,102240,426,1080,2073600,1920,38.958333,24,1,2067,5.61684782609,368,38,TR04_SRC003_HRC02
97.1596402594,150,240,102240,426,1080,2073600,1920,39.958333,24,1,2619,6.26555023923,418,39,TR04_SRC003_HRC02
107.386063667,150,240,102240,426,1080,2073600,1920,40.958333,24,1,3342,7.52702702703,444,40,TR04_SRC003_HRC02
122.289393292,150,240,102240,426,1080,2073600,1920,41.958333,24,1,3968,7.95190380762,499,41,TR04_SRC003_HRC02
135.619858674,150,240,102240,426,1080,2073600,1920,42.958333,24,1,4568,8.3663003663,546,42,TR04_SRC003_HRC02
155.491499283,150,240,102240,426,1080,2073600,1920,43.958333,24,1,5054,7.97160883281,634,43,TR04_SRC003_HRC02
173.3481581,150,240,102240,426,1080,2073600,1920,44.958333,24,1,5413,7.56005586592,716,44,TR04_SRC003_HRC02
185.971155237,150,240,102240,426,1080,2073600,1920,45.958333,24,1,5891,7.70065359477,765,45,TR04_SRC003_HRC02
197.630953399,150,240,102240,426,1080,2073600,1920,46.958333,24,1,6319,7.8012345679,810,46,TR04_SRC003_HRC02
212.450909996,150,240,102240,426,1080,2073600,1920,47.958333,24,1,6727,7.69679633867,874,47,TR04_SRC003_HRC02
226.94378779,150,240,102240,426,1080,2073600,1920,48.958333,24,1,6939,7.35063559322,944,48,TR04_SRC003_HRC02
233.402391654,150,240,102240,426,1080,2073600,1920,49.958333,24,1,7111,7.3158436214,972,49,TR04_SRC003_HRC02
243.647735029,150,240,102240,426,1080,2073600,1920,50.958333,24,1,7111,7.00591133005,1015,50,TR04_SRC003_HRC02
254.319298779,150,240,102240,426,1080,2073600,1920,51.958333,24,1,7389,6.97075471698,1060,51,TR04_SRC003_HRC02
265.507052414,150,240,102240,426,1080,2073600,1920,52.958333,24,1,7703,6.95216606498,1108,52,TR04_SRC003_HRC02
276.855785154,150,240,102240,426,1080,2073600,1920,53.958333,24,1,8041,6.9619047619,1155,53,TR04_SRC003_HRC02
