pvs_id,sample_index,O21
TR04_SRC003_HRC02,26,4.408
TR04_SRC003_HRC02,27,4.408
TR04_SRC003_HRC02,28,4.408
TR04_SRC003_HRC02,29,4.408
TR04_SRC003_HRC02,3,4.554
TR04_SRC003_HRC02,30,4.408
TR04_SRC003_HRC02,31,4.408
TR04_SRC003_HRC02,32,4.408
TR04_SRC003_HRC02,33,4.408
TR04_SRC003_HRC02,34,4.408
TR04_SRC003_HRC02,35,4.408
TR04_SRC003_HRC02,36,4.408
TR04_SRC003_HRC02,37,4.408
TR04_SRC003_HRC02,38,4.408
TR04_SRC003_HRC02,39,4.408
TR04_SRC003_HRC02,4,4.554
TR04_SRC003_HRC02,40,4.408
TR04_SRC003_HRC02,41,4.408
TR04_SRC003_HRC02,42,4.408
TR04_SRC003_HRC02,43,4.408
TR04_SRC003_HRC02,44,4.408
TR04_SRC003_HRC02,45,4.408
TR04_SRC003_HRC02,46,4.408
TR04_SRC003_HRC02,47,4.408
TR04_SRC003_HRC02,48,4.408
TR04_SRC003_HRC02,49,4.408
TR04_SRC003_HRC02,5,4.531
TR04_SRC003_HRC02,50,4.408
TR04_SRC003_HRC02,51,4.408
TR04_SRC003_HRC02,52,4.408
TR04_SRC003_HRC02,53,4.408
TR04_SRC003_HRC02,54,4.408
TR04_SRC003_HRC02,55,4.408
TR04_SRC003_HRC02,56,4.408
TR04_SRC003_HRC02,57,4.408
TR04_SRC003_HRC02,58,4.408
TR04_SRC003_HRC02,59,4.408
TR04_SRC003_HRC02,6,4.531
TR04_SRC003_HRC02,7,4.531
TR04_SRC003_HRC02,8,4.531
TR04_SRC003_HRC02,9,4.531
TR04_SRC004_HRC02,0,4.554
TR04_SRC004_HRC02,1,4.554
TR04_SRC004_HRC02,10,4.531
TR04_SRC004_HRC02,11,4.531
TR04_SRC004_HRC02,12,4.531
TR04_SRC004_HRC02,13,4.531
TR04_SRC004_HRC02,14,4.529
TR04_SRC004_HRC02,15,4.408
TR04_SRC004_HRC02,16,4.408
TR04_SRC004_HRC02,17,4.408
TR04_SRC004_HRC02,18,4.408
TR04_SRC004_HRC02,19,4.408
TR04_SRC004_HRC02,2,4.554
TR04_SRC004_HRC02,20,4.408
TR04_SRC004_HRC02,21,4.408
TR04_SRC004_HRC02,22,4.408
TR04_SRC004_HRC02,23,4.408
TR04_SRC004_HRC02,24,4.408
TR04_SRC004_HRC02,25,4.408
TR04_SRC004_HRC02,26,4.408
TR04_SRC004_HRC02,27,4.408
TR04_SRC004_HRC02,28,4.408
TR04_SRC004_HRC02,29,4.408
TR04_SRC004_HRC02,3,4.554
TR04_SRC004_HRC02,30,4.408
TR04_SRC004_HRC02,31,4.408
TR04_SRC004_HRC02,32,4.408
TR04_SRC004_HRC02,33,4.408
TR04_SRC004_HRC02,34,4.408
TR04_SRC004_HRC02,35,4.408
TR04_SRC004_HRC02,36,4.408
TR04_SRC004_HRC02,37,4.408
TR04_SRC004_HRC02,38,4.408
TR04_SRC004_HRC02,39,4.408
TR04_SRC004_HRC02,4,4.554
TR04_SRC004_HRC02,40,4.408
TR04_SRC004_HRC02,41,4.408
TR04_SRC004_HRC02,42,4.408
TR04_SRC004_HRC02,43,4.408
TR04_SRC004_HRC02,44,4.408
