pvs_id,mode,sample_index,O22
TR04_SRC001_HRC01,1,46,4.420641499180377
TR04_SRC001_HRC01,1,47,4.4166731320904296
TR04_SRC001_HRC01,1,48,4.413195593216129
TR04_SRC001_HRC01,1,49,4.411627775005621
TR04_SRC001_HRC01,1,50,4.415022420423759
TR04_SRC001_HRC01,1,51,4.416103736280132
TR04_SRC001_HRC01,1,52,4.418456592325321
TR04_SRC001_HRC01,1,53,4.4182089770136805
TR04_SRC001_HRC01,1,54,4.415775904832102
TR04_SRC001_HRC01,1,55,4.414943092007652
TR04_SRC001_HRC01,1,56,4.413333581833056
TR04_SRC001_HRC01,1,57,4.409535049151774
TR04_SRC001_HRC01,1,58,4.400254366362987
TR04_SRC001_HRC01,1,59,4.375003452658172
TR04_SRC001_HRC01,2,0,4.368756701891295
TR04_SRC001_HRC01,2,1,4.373245798930636
TR04_SRC001_HRC01,2,2,4.3762787261254275
TR04_SRC001_HRC01,2,3,4.378175571648931
TR04_SRC001_HRC01,2,4,4.378577514978998
TR04_SRC001_HRC01,2,5,4.3808409150235885
TR04_SRC001_HRC01,2,6,4.38409734429322
TR04_SRC001_HRC01,2,7,4.382407787475232
TR04_SRC001_HRC01,2,8,4.381473324824187
TR04_SRC001_HRC01,2,9,4.381161588090284
TR04_SRC001_HRC01,2,10,4.378032876872138
TR04_SRC001_HRC01,2,11,4.376826880446679
TR04_SRC001_HRC01,2,12,4.379845660260918
TR04_SRC001_HRC01,2,13,4.381969974497106
TR04_SRC001_HRC01,2,14,4.385447354538057
TR04_SRC001_HRC01,2,15,4.389765550321723
TR04_SRC001_HRC01,2,16,4.39425251808212
TR04_SRC001_HRC01,2,17,4.398199980097283
TR04_SRC001_HRC01,2,18,4.401530484223115
TR04_SRC001_HRC01,2,19,4.404746628314941
TR04_SRC001_HRC01,2,20,4.405933762339043
TR04_SRC001_HRC01,2,21,4.404723004803571
TR04_SRC001_HRC01,2,22,4.403887246938006
TR04_SRC001_HRC01,2,23,4.403699360432629
TR04_SRC001_HRC01,2,24,4.404505536160323
TR04_SRC001_HRC01,2,25,4.403262963860032
TR04_SRC001_HRC01,2,26,4.404242411735164
TR04_SRC001_HRC01,2,27,4.4083588295764216
TR04_SRC001_HRC01,2,28,4.410518127414007
TR04_SRC001_HRC01,2,29,4.411125032496167
TR04_SRC001_HRC01,2,30,4.413069021246704
TR04_SRC001_HRC01,2,31,4.412310532286653
TR04_SRC001_HRC01,2,32,4.412318960400209
TR04_SRC001_HRC01,2,33,4.414749586795529
TR04_SRC001_HRC01,2,34,4.416616024025816
TR04_SRC001_HRC01,2,35,4.420143408105032
TR04_SRC001_HRC01,2,36,4.42310053722883
TR04_SRC001_HRC01,2,37,4.426145737827697
TR04_SRC001_HRC01,2,38,4.429506189103899
TR04_SRC001_HRC01,2,39,4.432623305568682
TR04_SRC001_HRC01,2,40,4.436844196976755
TR04_SRC001_HRC01,2,41,4.4411670724501455
TR04_SRC001_HRC01,2,42,4.443006906477446
TR04_SRC001_HRC01,2,43,4.443351458626236
TR04_SRC001_HRC01,2,44,4.4439609932982025
TR04_SRC001_HRC01,2,45,4.444341588241776
TR04_SRC001_HRC01,2,46,4.440028064340667
TR04_SRC001_HRC01,2,47,4.4386182685743565
TR04_SRC001_HRC01,2,48,4.439280571408149
TR04_SRC001_HRC01,2,49,4.411627775005621
TR04_SRC001_HRC01,2,50,4.415022420423759
TR04_SRC001_HRC01,2,51,4.416103736280132
TR04_SRC001_HRC01,2,52,4.418456592325321
TR04_SRC001_HRC01,2,53,4.4182089770136805
TR04_SRC001_HRC01,2,54,4.415775904832102
TR04_SRC001_HRC01,2,55,4.414943092007652
TR04_SRC001_HRC01,2,56,4.413333581833056
TR04_SRC001_HRC01,2,57,4.409535049151774
TR04_SRC001_HRC01,2,58,4.400254366362987
TR04_SRC001_HRC01,2,59,4.375003452658172
TR04_SRC001_HRC01,3,0,4.371299279566666
TR04_SRC001_HRC01,3,1,4.3756211163663385
TR04_SRC001_HRC01,3,2,4.378142702445755
TR04_SRC001_HRC01,3,3,4.3792323434190825
TR04_SRC001_HRC01,3,4,4.378751480449861
TR04_SRC001_HRC01,3,5,4.380779848596727
TR04_SRC001_HRC01,3,6,4.3840730887111805
TR04_SRC001_HRC01,3,7,4.383487435238288
TR04_SRC001_HRC01,3,8,4.383179649607916
TR04_SRC001_HRC01,3,9,4.382959501652559
TR04_SRC001_HRC01,3,10,4.380258354126249
TR04_SRC001_HRC01,3,11,4.379164094181691
TR04_SRC001_HRC01,3,12,4.382786267400547
TR04_SRC001_HRC01,3,13,4.385622373065676
TR04_SRC001_HRC01,3,14,4.38769682534292
TR04_SRC001_HRC01,3,15,4.390012278366821
TR04_SRC001_HRC01,3,16,4.3922523028709515
TR04_SRC001_HRC01,3,17,4.394358121472964
TR04_SRC001_HRC01,3,18,4.395774653181743
TR04_SRC001_HRC01,3,19,4.397090566590917
TR04_SRC001_HRC01,3,20,4.3965560832869945
TR04_SRC001_HRC01,3,21,4.393633085185363
TR04_SRC001_HRC01,3,22,4.391446495860431
TR04_SRC001_HRC01,3,23,4.39018767914537
TR04_SRC001_HRC01,3,24,4.390198337684645
TR04_SRC001_HRC01,3,25,4.388064421928769
TR04_SRC001_HRC01,3,26,4.387260772879161
TR04_SRC001_HRC01,3,27,4.389033731950019
TR04_SRC001_HRC01,3,28,4.388475969437445
TR04_SRC001_HRC01,3,29,4.387758114121517
TR04_SRC001_HRC01,3,30,4.388707754015414
TR04_SRC001_HRC01,3,31,4.388012893360901
TR04_SRC001_HRC01,3,32,4.388215195770459
TR04_SRC001_HRC01,3,33,4.389660186839521
TR04_SRC001_HRC01,3,34,4.390512347684602
TR04_SRC001_HRC01,3,35,4.389879097786194
TR04_SRC001_HRC01,3,36,4.389243020249349
TR04_SRC001_HRC01,3,37,4.389491991652163
TR04_SRC001_HRC01,3,38,4.389637694463329
TR04_SRC001_HRC01,3,39,4.389934466680943
TR04_SRC001_HRC01,3,40,4.391783863891554
TR04_SRC001_HRC01,3,41,4.393201077449608
TR04_SRC001_HRC01,3,42,4.395208921611115
TR04_SRC001_HRC01,3,43,4.396834404975698
TR04_SRC001_HRC01,3,44,4.398386905489546
TR04_SRC001_HRC01,3,45,4.400158536335117
TR04_SRC001_HRC01,3,46,4.3989605450773235
TR04_SRC001_HRC01,3,47,4.398873807581227
TR04_SRC001_HRC01,3,48,4.40135724661764
TR04_SRC001_HRC01,3,49,4.413726700839143
TR04_SRC001_HRC01,3,50,4.415363790657033
TR04_SRC001_HRC01,3,51,4.416307032121066
TR04_SRC001_HRC01,3,52,4.416268768566714
TR04_SRC001_HRC01,3,53,4.416496078618478
TR04_SRC001_HRC01,3,54,4.41677443220416
TR04_SRC001_HRC01,3,55,4.417923755027461
TR04_SRC001_HRC01,3,56,4.419660402678744
TR04_SRC001_HRC01,3,57,4.420559363385444
TR04_SRC001_HRC01,3,58,4.42209151131653
TR04_SRC001_HRC01,3,59,4.423877480715021
TR04_SRC003_HRC02,0,0,4.326394530358494
TR04_SRC003_HRC02,0,1,4.326394530358494
TR04_SRC003_HRC02,0,2,4.326394530358494
TR04_SRC003_HRC02,0,3,4.326394530358494
TR04_SRC003_HRC02,0,4,4.326394530358494
TR04_SRC003_HRC02,0,5,2.6328093758627147
TR04_SRC003_HRC02,0,6,2.6328093758627147
TR04_SRC003_HRC02,0,7,2.6328093758627147
TR04_SRC003_HRC02,0,8,2.6328093758627147
TR04_SRC003_HRC02,0,9,2.6328093758627147
TR04_SRC003_HRC02,0,10,2.6328093758627147
TR04_SRC003_HRC02,0,11,2.6328093758627147
TR04_SRC003_HRC02,0,12,2.6328093758627147
TR04_SRC003_HRC02,0,13,2.6328093758627147
TR04_SRC003_HRC02,0,14,2.6328093758627147
TR04_SRC003_HRC02,0,15,1.0716442591696624
TR04_SRC003_HRC02,0,16,1.0716442591696624
TR04_SRC003_HRC02,0,17,1.0716442591696624
TR04_SRC003_HRC02,0,18,1.0716442591696624
TR04_SRC003_HRC02,0,19,1.0716442591696624
TR04_SRC003_HRC02,0,20,1.07015283742147
TR04_SRC003_HRC02,0,21,1.07015283742147
TR04_SRC003_HRC02,0,22,1.07015283742147
TR04_SRC003_HRC02,0,23,1.07015283742147
TR04_SRC003_HRC02,0,24,1.07015283742147
TR04_SRC003_HRC02,0,25,1.068645105848305
TR04_SRC003_HRC02,0,26,1.068645105848305
TR04_SRC003_HRC02,0,27,1.068645105848305
TR04_SRC003_HRC02,0,28,1.068645105848305
TR04_SRC003_HRC02,0,29,1.066197345868973
TR04_SRC003_HRC02,0,30,1.0662018638838917
TR04_SRC003_HRC02,0,31,1.0662018638838917
TR04_SRC003_HRC02,0,32,1.0662018638838917
TR04_SRC003_HRC02,0,33,1.0662018638838917
TR04_SRC003_HRC02,0,34,1.0653074822910091
TR04_SRC003_HRC02,0,35,1.0736301666026262
TR04_SRC003_HRC02,0,36,1.0736301666026262
TR04_SRC003_HRC02,0,37,1.0736301666026262
TR04_SRC003_HRC02,0,38,1.0736301666026262
TR04_SRC003_HRC02,0,39,1.0753798621889594
TR04_SRC003_HRC02,0,40,1.0920581020800846
TR04_SRC003_HRC02,0,41,1.0920581020800846
TR04_SRC003_HRC02,0,42,1.0920581020800846
TR04_SRC003_HRC02,0,43,1.0920581020800846
TR04_SRC003_HRC02,0,44,1.0984952091046225
TR04_SRC003_HRC02,0,45,1.1057327631563283
TR04_SRC003_HRC02,0,46,1.1057327631563283
TR04_SRC003_HRC02,0,47,1.1057327631563283
TR04_SRC003_HRC02,0,48,1.1057327631563283
TR04_SRC003_HRC02,0,49,1.1159903780748832
TR04_SRC003_HRC02,0,50,1.1159903780748832
TR04_SRC003_HRC02,0,51,1.1159903780748832
TR04_SRC003_HRC02,0,52,1.1159903780748832
TR04_SRC003_HRC02,0,53,1.1159903780748832
TR04_SRC003_HRC02,0,54,1.1314527420833063
TR04_SRC003_HRC02,0,55,1.1314527420833063
TR04_SRC003_HRC02,0,56,1.1314527420833063
TR04_SRC003_HRC02,0,57,1.1314527420833063
TR04_SRC003_HRC02,0,58,1.1314527420833063
TR04_SRC003_HRC02,0,59,1.1434217048765318
TR04_SRC003_HRC02,1,0,3.5024089110698577
TR04_SRC003_HRC02,1,1,3.5024089110698577
TR04_SRC003_HRC02,1,2,3.5024089110698577
TR04_SRC003_HRC02,1,3,3.5024089110698577
TR04_SRC003_HRC02,1,4,3.5024089110698577
TR04_SRC003_HRC02,1,5,2.4691177935147777
TR04_SRC003_HRC02,1,6,2.4691177935147777
TR04_SRC003_HRC02,1,7,2.4691177935147777
TR04_SRC003_HRC02,1,8,2.4691177935147777
TR04_SRC003_HRC02,1,9,2.4691177935147777
TR04_SRC003_HRC02,1,10,2.4691177935147777
TR04_SRC003_HRC02,1,11,2.4691177935147777
TR04_SRC003_HRC02,1,12,2.4691177935147777
TR04_SRC003_HRC02,1,13,2.4691177935147777
TR04_SRC003_HRC02,1,14,2.520099719019075
TR04_SRC003_HRC02,1,15,1.05
TR04_SRC003_HRC02,1,16,1.05
TR04_SRC003_HRC02,1,17,1.05
TR04_SRC003_HRC02,1,18,1.05
TR04_SRC003_HRC02,1,19,1.05
TR04_SRC003_HRC02,1,20,1.05
TR04_SRC003_HRC02,1,21,1.05
TR04_SRC003_HRC02,1,22,1.05
TR04_SRC003_HRC02,1,23,1.05
TR04_SRC003_HRC02,1,24,1.05
TR04_SRC003_HRC02,1,25,1.05
TR04_SRC003_HRC02,1,26,1.05
TR04_SRC003_HRC02,1,27,1.05
TR04_SRC003_HRC02,1,28,1.05
TR04_SRC003_HRC02,1,29,1.05
TR04_SRC003_HRC02,1,30,1.05
TR04_SRC003_HRC02,1,31,1.05
TR04_SRC003_HRC02,1,32,1.05
TR04_SRC003_HRC02,1,33,1.05
TR04_SRC003_HRC02,1,34,1.05
TR04_SRC003_HRC02,1,35,1.05
TR04_SRC003_HRC02,1,36,1.05
TR04_SRC003_HRC02,1,37,1.05
TR04_SRC003_HRC02,1,38,1.05
TR04_SRC003_HRC02,1,39,1.05
TR04_SRC003_HRC02,1,40,1.05
TR04_SRC003_HRC02,1,41,1.05
TR04_SRC003_HRC02,1,42,1.05
TR04_SRC003_HRC02,1,43,1.05
TR04_SRC003_HRC02,1,44,1.05
TR04_SRC003_HRC02,1,45,1.05
TR04_SRC003_HRC02,1,46,1.05
TR04_SRC003_HRC02,1,47,1.05
TR04_SRC003_HRC02,1,48,1.05
TR04_SRC003_HRC02,1,49,1.05
TR04_SRC003_HRC02,1,50,1.05
TR04_SRC003_HRC02,1,51,1.05
TR04_SRC003_HRC02,1,52,1.05
TR04_SRC003_HRC02,1,53,1.05
TR04_SRC003_HRC02,1,54,1.05
TR04_SRC003_HRC02,1,55,1.05
